Date,Azahriah,Pogány Induló,Elefánt,Moriones,Beton.Hofi,Co Lee,Balkan VIP,Carson Coma,Krúbi,FRANKO,Analog Balaton,szolnoki,Wxlfless,Blaize,Hundred Sins,Indigo,Beatrick,Solére,Ekhoe,Wavy,Ótvar Pestis,Kolibri,DESH,Vad Fruttik,Csaknekedkislány,Manuel,Mehringer,Quimby,Kispál és a Borz,Péterffy Bori & Love Band,Parno Graszt,ANUBII$,laurie.,Dom Beats,ajsa luna,Kain,SilkSilver,Lil Frakk,Grasa,DOÓR,Brenka,Filo,Kollár Dea,Bruno X Spacc,VALMAR,KKevin,Young Fly,Sisi,toldyuuso,T.Danny,BSW,30Y,Esti Kornél,Lázár tesók,Dzsúdló,Aurevoir.,Bohemian Betyárs,Duckshell,6363,Lusta Geri,Miller Dávid,Bëlga,Biorobot,Hiperkarma,Kiscsillag,Blahalousiana,Margaret Island,boebeck,Galaxisok,Heaven Street Seven,Kaukázus,Kistehén,kristoaf,ByeAlex és a Slepp,Дeva,Tóth Andi,veryraredome,Kolg8eight,Csoky,Mihályfi Luca,AWS,Jaber,Zakeus,gyuris,Lovas Juci és a Frász,Iceboyz,STAiR,Loophia,4ma,Temesi Blanka,Mengyelejev,cserihanna,Máklikőr,tejszínhab.,Glencz,Tingyela Dóri,AK26,Follow the Flow,Halott Pénz,Wellhello,DÁNIELFY,Majka,4s Street,Fiúk,Horváth Tamás,Paulina,egy5egy,ZÓRA,G.w.M,VZS,Kollár-Klemencz László,Csernovszky Márk,Tankcsapda,Honeybeast,Lóci Játszik,NLP,bongor,Mikee Mykanic
2024-07-30,700135,356819,114427,203364,317426,102876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,701760,356545,114657,202680,316753,102538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-08,703337,347213,121661,283255,318426,125226,16882,185336,172157,41205,66037,27548,10871,76899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-09,703134,347435,120989,282964,319658,126483,16765,183931,172145,41294,66311,27184,10857,78420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11,703216,347547,120146,282529,320165,128495,16384,181916,171793,41641,65802,26419,10605,81201,240402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-12,702537,346882,119588,282464,320188,129214,16481,181451,172054,41943,65504,25900,10463,82588,240610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-13,703060,346284,119152,282816,320288,128765,16507,180418,172205,42056,65327,25644,10352,82436,241179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14,703207,346236,118411,283605,320545,128506,16422,179345,172307,42070,64987,25941,10233,82526,241744,35682,126613,27266,198012,40780,96220,56566,658026,33290,57849,345359,101745,98717,88130,73651,137840,253688,11054,40326,117720,77231,44599,134249,62916,86472,32835,142430,18890,309570,333059,404853,568920,83409,87912,368362,280589,91800,27853,22034,315522,32169,72150,17469,44725,8963,54225,84968,40427,94704,24382,58453,65067,992,24847,34288,35088,24642,45488,263677,37824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-15,703304,345080,117866,284381,321131,127676,16384,178539,172329,42082,64676,26638,10150,81929,242722,35712,126986,28151,197850,40768,96198,56410,658006,33303,57710,345221,101896,98816,88045,74147,137438,253289,11131,40375,118158,77251,44346,134633,63902,86602,34273,142325,18962,309521,333312,404901,569665,83577,88226,369621,280172,90999,27788,21846,315843,32115,71868,17397,44606,8782,54360,84812,39925,94237,24566,58690,65028,979,24651,34424,34785,24708,45554,263303,37711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-16,703643,344641,117765,285688,321598,126720,16289,177911,172403,42088,64450,26809,10058,81295,243580,35723,127007,28938,197644,40589,96020,56074,658248,33304,57881,345860,102167,98983,87884,74085,137257,253005,11216,40446,118404,77235,44248,134599,64587,86821,35268,142260,19018,309460,333476,404753,570798,83513,88264,371147,280221,90861,27728,21628,316464,32112,71966,17426,44351,8490,54369,84661,39541,93675,24755,58973,64950,947,24567,34424,34557,24711,45637,263205,38249,94963,6747,68134,100844,128811,53747,131479,61951,77585,1235,1931,23393,1243,20415,1191,5120,29271,5181,71,137,874,50435,245113,281234,191702,77898,206605,146316,11032,247641,46228,10967,19723,62407,199089,27350,2234,187295,81611,81611,10913,22192,48035
